Element	Gene	Ensembl	Element_type	Category	MoF	Tissue
gc19_pc.cds::gencode::NKX3-1::ENSG00000167034.9	NKX3-1	ENSG00000167034.9	cds	prior_unique	ambiguous	Prost-AdenoCA
gc19_pc.cds::gencode::NOTCH4::ENSG00000204301.5	NOTCH4	ENSG00000204301.5	cds	prior_unique	unknown	PANCANCER
gc19_pc.cds::gencode::NPM1::ENSG00000181163.9	NPM1	ENSG00000181163.9	cds	prior_unique	ambiguous	Lymph-BNHL;Myeloid-AML;PANCANCER
gc19_pc.cds::gencode::NR2F2::ENSG00000185551.8	NR2F2	ENSG00000185551.8	cds	prior_unique	Act	PANCANCER
gc19_pc.cds::gencode::NR4A2::ENSG00000153234.9	NR4A2	ENSG00000153234.9	cds	prior_unique	LoF	PANCANCER
gc19_pc.cds::gencode::NSD1::ENSG00000165671.14	NSD1	ENSG00000165671.14	cds	prior_unique	Act	Eso-AdenoCa;Head-SCC;Lymph-CLL;PANCANCER
gc19_pc.cds::gencode::NT5C2::ENSG00000076685.14	NT5C2	ENSG00000076685.14	cds	prior_unique	ambiguous	PANCANCER
gc19_pc.cds::gencode::NTRK1::ENSG00000198400.7	NTRK1	ENSG00000198400.7	cds	prior_unique	Act	ColoRect-AdenoCA
gc19_pc.cds::gencode::NTRK2::ENSG00000148053.11	NTRK2	ENSG00000148053.11	cds	prior_unique	Act	Lung-AdenoCA
gc19_pc.cds::gencode::NUP107::ENSG00000111581.5	NUP107	ENSG00000111581.5	cds	prior_unique	Act	Eso-AdenoCa;PANCANCER
gc19_pc.cds::gencode::NUP93::ENSG00000102900.8	NUP93	ENSG00000102900.8	cds	prior_unique	LoF	Uterus-AdenoCA
gc19_pc.cds::gencode::NUP98::ENSG00000110713.11	NUP98	ENSG00000110713.11	cds	prior_unique	Act	Eso-AdenoCa;PANCANCER;Skin-Melanoma
gc19_pc.cds::gencode::OGG1::ENSG00000114026.17	OGG1	ENSG00000114026.17	cds	prior_unique	ambiguous	Kidney-RCC
gc19_pc.cds::gencode::OPCML::ENSG00000183715.9	OPCML	ENSG00000183715.9	cds	prior_unique	LoF	Ovary-AdenoCA
gc19_pc.cds::gencode::PABPC1::ENSG00000070756.9	PABPC1	ENSG00000070756.9	cds	prior_unique	ambiguous	Kidney-RCC
gc19_pc.cds::gencode::PABPC3::ENSG00000151846.7	PABPC3	ENSG00000151846.7	cds	prior_unique	ambiguous	Head-SCC
gc19_pc.cds::gencode::PALB2::ENSG00000083093.5	PALB2	ENSG00000083093.5	cds	prior_unique	LoF	Breast-AdenoCa;Breast-DCIS;Breast-LobularCa;CNS-Medullo;Myeloid-AML;PANCANCER;Prost-AdenoCA
gc19_pc.cds::gencode::PAX5::ENSG00000196092.8	PAX5	ENSG00000196092.8	cds	prior_unique	Act	Eso-AdenoCa;Head-SCC;Lymph-BNHL;PANCANCER
gc19_pc.cds::gencode::PCSK6::ENSG00000140479.12	PCSK6	ENSG00000140479.12	cds	prior_unique	Act	PANCANCER
gc19_pc.cds::gencode::PDGFRA::ENSG00000134853.7	PDGFRA	ENSG00000134853.7	cds	prior_unique	Act	PANCANCER;Skin-Melanoma
gc19_pc.cds::gencode::PDGFRL::ENSG00000104213.8	PDGFRL	ENSG00000104213.8	cds	prior_unique	LoF	ColoRect-AdenoCA
gc19_pc.cds::gencode::PER1::ENSG00000179094.9	PER1	ENSG00000179094.9	cds	prior_unique	Act	PANCANCER
gc19_pc.cds::gencode::PGR::ENSG00000082175.10	PGR	ENSG00000082175.10	cds	prior_unique	Act	Uterus-AdenoCA
gc19_pc.cds::gencode::PHOX2B::ENSG00000109132.5	PHOX2B	ENSG00000109132.5	cds	prior_unique	LoF	PANCANCER
gc19_pc.cds::gencode::PIK3C2B::ENSG00000133056.9	PIK3C2B	ENSG00000133056.9	cds	prior_unique	Act	PANCANCER
gc19_pc.cds::gencode::PIK3CB::ENSG00000051382.4	PIK3CB	ENSG00000051382.4	cds	prior_unique	Act	Breast-AdenoCa;Breast-DCIS;Breast-LobularCa;PANCANCER
gc19_pc.cds::gencode::PIK3CD::ENSG00000171608.11	PIK3CD	ENSG00000171608.11	cds	prior_unique	Act	PANCANCER
gc19_pc.cds::gencode::PIK3R2::ENSG00000105647.10	PIK3R2	ENSG00000105647.10	cds	prior_unique	LoF	PANCANCER
gc19_pc.cds::gencode::PIK3R3::ENSG00000117461.10	PIK3R3	ENSG00000117461.10	cds	prior_unique	Act	PANCANCER
gc19_pc.cds::gencode::PIK3R4::ENSG00000196455.3	PIK3R4	ENSG00000196455.3	cds	prior_unique	unknown	Cervix-AdenoCA;Cervix-SCC
gc19_pc.cds::gencode::PIP5K1A::ENSG00000143398.15	PIP5K1A	ENSG00000143398.15	cds	prior_unique	ambiguous	PANCANCER
gc19_pc.cds::gencode::PLCG1::ENSG00000124181.10	PLCG1	ENSG00000124181.10	cds	prior_unique	Act	Liver-HCC;PANCANCER;Uterus-AdenoCA
gc19_pc.cds::gencode::PLCG2::ENSG00000197943.5	PLCG2	ENSG00000197943.5	cds	prior_unique	ambiguous	Lymph-CLL
gc19_pc.cds::gencode::PLXNA1::ENSG00000114554.7	PLXNA1	ENSG00000114554.7	cds	prior_unique	Act	Prost-AdenoCA
gc19_pc.cds::gencode::PLXNB2::ENSG00000196576.10	PLXNB2	ENSG00000196576.10	cds	prior_unique	Act	Uterus-AdenoCA
gc19_pc.cds::gencode::PMS1::ENSG00000064933.12	PMS1	ENSG00000064933.12	cds	prior_unique	LoF	ColoRect-AdenoCA;PANCANCER;Ovary-AdenoCA
gc19_pc.cds::gencode::PMS2::ENSG00000122512.10	PMS2	ENSG00000122512.10	cds	prior_unique	LoF	CNS-Medullo;CNS-Oligo;ColoRect-AdenoCA;PANCANCER;Ovary-AdenoCA
gc19_pc.cds::gencode::POLE::ENSG00000177084.12	POLE	ENSG00000177084.12	cds	prior_unique	ambiguous	ColoRect-AdenoCA;PANCANCER
gc19_pc.cds::gencode::POLR2B::ENSG00000047315.10	POLR2B	ENSG00000047315.10	cds	prior_unique	Act	PANCANCER
gc19_pc.cds::gencode::POM121::ENSG00000196313.7	POM121	ENSG00000196313.7	cds	prior_unique	Act	Skin-Melanoma
gc19_pc.cds::gencode::POT1::ENSG00000128513.10	POT1	ENSG00000128513.10	cds	prior_unique	ambiguous	Lymph-CLL
gc19_pc.cds::gencode::PPARG::ENSG00000132170.15	PPARG	ENSG00000132170.15	cds	prior_unique	Act	PANCANCER
gc19_pc.cds::gencode::PPM1D::ENSG00000170836.7	PPM1D	ENSG00000170836.7	cds	prior_unique	LoF	Thy-AdenoCA
gc19_pc.cds::gencode::PPP2R5A::ENSG00000066027.7	PPP2R5A	ENSG00000066027.7	cds	prior_unique	LoF	PANCANCER
gc19_pc.cds::gencode::PPP2R5C::ENSG00000078304.15	PPP2R5C	ENSG00000078304.15	cds	prior_unique	Act	PANCANCER
gc19_pc.cds::gencode::PPP6C::ENSG00000119414.7	PPP6C	ENSG00000119414.7	cds	prior_unique	LoF	Skin-Melanoma
gc19_pc.cds::gencode::PRDM1::ENSG00000057657.10	PRDM1	ENSG00000057657.10	cds	prior_unique	LoF	PANCANCER
gc19_pc.cds::gencode::PRF1::ENSG00000180644.6	PRF1	ENSG00000180644.6	cds	prior_unique	LoF	Lymph-NOS;PANCANCER
gc19_pc.cds::gencode::PRKAA1::ENSG00000132356.7	PRKAA1	ENSG00000132356.7	cds	prior_unique	ambiguous	PANCANCER
gc19_pc.cds::gencode::PRKCZ::ENSG00000067606.11	PRKCZ	ENSG00000067606.11	cds	prior_unique	ambiguous	PANCANCER
gc19_pc.cds::gencode::PRPF8::ENSG00000174231.12	PRPF8	ENSG00000174231.12	cds	prior_unique	Act	Lung-SCC;PANCANCER;Prost-AdenoCA;Uterus-AdenoCA
gc19_pc.cds::gencode::PRRX1::ENSG00000116132.7	PRRX1	ENSG00000116132.7	cds	prior_unique	Act	PANCANCER
gc19_pc.cds::gencode::PSIP1::ENSG00000164985.10	PSIP1	ENSG00000164985.10	cds	prior_unique	Act	Head-SCC
gc19_pc.cds::gencode::PSMA2::ENSG00000106588.6	PSMA2	ENSG00000106588.6	cds	prior_unique	ambiguous	PANCANCER
gc19_pc.cds::gencode::PSMA6::ENSG00000100902.6	PSMA6	ENSG00000100902.6	cds	prior_unique	ambiguous	PANCANCER
gc19_pc.cds::gencode::PSMB4::ENSG00000159377.6	PSMB4	ENSG00000159377.6	cds	prior_unique	ambiguous	PANCANCER
gc19_pc.cds::gencode::PSMB5::ENSG00000100804.14	PSMB5	ENSG00000100804.14	cds	prior_unique	ambiguous	PANCANCER
gc19_pc.cds::gencode::PSMD11::ENSG00000108671.5	PSMD11	ENSG00000108671.5	cds	prior_unique	LoF	Lung-AdenoCA
gc19_pc.cds::gencode::PSME3::ENSG00000131467.6	PSME3	ENSG00000131467.6	cds	prior_unique	LoF	Kidney-RCC
gc19_pc.cds::gencode::PSMG1::ENSG00000183527.7	PSMG1	ENSG00000183527.7	cds	prior_unique	ambiguous	PANCANCER
gc19_pc.cds::gencode::PSMG2::ENSG00000128789.16	PSMG2	ENSG00000128789.16	cds	prior_unique	ambiguous	PANCANCER
gc19_pc.cds::gencode::PTGS1::ENSG00000095303.10	PTGS1	ENSG00000095303.10	cds	prior_unique	LoF	PANCANCER
gc19_pc.cds::gencode::PTPN12::ENSG00000127947.11	PTPN12	ENSG00000127947.11	cds	prior_unique	LoF	PANCANCER
gc19_pc.cds::gencode::PTPRB::ENSG00000127329.10	PTPRB	ENSG00000127329.10	cds	prior_unique	ambiguous	PANCANCER
gc19_pc.cds::gencode::PTPRC::ENSG00000081237.14	PTPRC	ENSG00000081237.14	cds	prior_unique	Act	PANCANCER
gc19_pc.cds::gencode::PTPRF::ENSG00000142949.12	PTPRF	ENSG00000142949.12	cds	prior_unique	Act	Stomach-AdenoCA
gc19_pc.cds::gencode::PTPRJ::ENSG00000149177.8	PTPRJ	ENSG00000149177.8	cds	prior_unique	LoF	PANCANCER;Panc-AdenoCA
gc19_pc.cds::gencode::PTPRU::ENSG00000060656.15	PTPRU	ENSG00000060656.15	cds	prior_unique	Act	Eso-AdenoCa;PANCANCER;Stomach-AdenoCA
gc19_pc.cds::gencode::RAB35::ENSG00000111737.7	RAB35	ENSG00000111737.7	cds	prior_unique	unknown	Cervix-AdenoCA;Cervix-SCC
gc19_pc.cds::gencode::RAD21::ENSG00000164754.8	RAD21	ENSG00000164754.8	cds	prior_unique	LoF	ColoRect-AdenoCA;Eso-AdenoCa;Myeloid-AML;PANCANCER
gc19_pc.cds::gencode::RAD23B::ENSG00000119318.8	RAD23B	ENSG00000119318.8	cds	prior_unique	LoF	PANCANCER
gc19_pc.cds::gencode::RAD50::ENSG00000113522.9	RAD50	ENSG00000113522.9	cds	prior_unique	ambiguous	PANCANCER
gc19_pc.cds::gencode::RAD51C::ENSG00000108384.10	RAD51C	ENSG00000108384.10	cds	prior_unique	LoF	PANCANCER
gc19_pc.cds::gencode::RAD51D::ENSG00000185379.16	RAD51D	ENSG00000185379.16	cds	prior_unique	ambiguous	PANCANCER
gc19_pc.cds::gencode::RAD51L3-RFFL::ENSG00000267618.1	RAD51L3-RFFL	ENSG00000267618.1	cds	prior_unique	ambiguous	PANCANCER
gc19_pc.cds::gencode::RAD54B::ENSG00000197275.8	RAD54B	ENSG00000197275.8	cds	prior_unique	ambiguous	Lymph-BNHL;PANCANCER
gc19_pc.cds::gencode::RAD54L::ENSG00000085999.7	RAD54L	ENSG00000085999.7	cds	prior_unique	ambiguous	Lymph-BNHL;PANCANCER
gc19_pc.cds::gencode::RAF1::ENSG00000132155.7	RAF1	ENSG00000132155.7	cds	prior_unique	Act	Skin-Melanoma
gc19_pc.cds::gencode::RASA1::ENSG00000145715.10	RASA1	ENSG00000145715.10	cds	prior_unique	LoF	Head-SCC;Lung-SCC;PANCANCER;Stomach-AdenoCA
gc19_pc.cds::gencode::RASA2::ENSG00000155903.7	RASA2	ENSG00000155903.7	cds	prior_unique	LoF	Skin-Melanoma
gc19_pc.cds::gencode::RASGRP1::ENSG00000172575.7	RASGRP1	ENSG00000172575.7	cds	prior_unique	ambiguous	Head-SCC
gc19_pc.cds::gencode::RBBP7::ENSG00000102054.13	RBBP7	ENSG00000102054.13	cds	prior_unique	Act	PANCANCER;Stomach-AdenoCA
gc19_pc.cds::gencode::RBBP8::ENSG00000101773.12	RBBP8	ENSG00000101773.12	cds	prior_unique	LoF	PANCANCER
gc19_pc.cds::gencode::RBM5::ENSG00000003756.12	RBM5	ENSG00000003756.12	cds	prior_unique	LoF	PANCANCER
gc19_pc.cds::gencode::RBX1::ENSG00000100387.8	RBX1	ENSG00000100387.8	cds	prior_unique	LoF	PANCANCER
gc19_pc.cds::gencode::RECQL4::ENSG00000160957.8	RECQL4	ENSG00000160957.8	cds	prior_unique	LoF	PANCANCER
gc19_pc.cds::gencode::RET::ENSG00000165731.13	RET	ENSG00000165731.13	cds	prior_unique	Act	PANCANCER;Skin-Melanoma;Thy-AdenoCA
gc19_pc.cds::gencode::RFC4::ENSG00000163918.6	RFC4	ENSG00000163918.6	cds	prior_unique	Act	Breast-AdenoCa;Breast-DCIS;Breast-LobularCa
gc19_pc.cds::gencode::RGS3::ENSG00000138835.18	RGS3	ENSG00000138835.18	cds	prior_unique	ambiguous	Lung-SCC;PANCANCER
gc19_pc.cds::gencode::RHEB::ENSG00000106615.5	RHEB	ENSG00000106615.5	cds	prior_unique	Act	PANCANCER
gc19_pc.cds::gencode::RHOT1::ENSG00000126858.12	RHOT1	ENSG00000126858.12	cds	prior_unique	ambiguous	PANCANCER
gc19_pc.cds::gencode::RNF6::ENSG00000127870.12	RNF6	ENSG00000127870.12	cds	prior_unique	LoF	Eso-AdenoCa
gc19_pc.cds::gencode::ROCK2::ENSG00000134318.9	ROCK2	ENSG00000134318.9	cds	prior_unique	unknown	Cervix-AdenoCA;Cervix-SCC
gc19_pc.cds::gencode::ROS1::ENSG00000047936.6	ROS1	ENSG00000047936.6	cds	prior_unique	Act	Lung-AdenoCA
gc19_pc.cds::gencode::RP11-286N22.8::ENSG00000256591.1	RP11-286N22.8	ENSG00000256591.1	cds	prior_unique	ambiguous	PANCANCER
gc19_pc.cds::gencode::RPGR::ENSG00000156313.8	RPGR	ENSG00000156313.8	cds	prior_unique	LoF	Breast-AdenoCa;Breast-DCIS;Breast-LobularCa
gc19_pc.cds::gencode::RPL10::ENSG00000147403.12	RPL10	ENSG00000147403.12	cds	prior_unique	LoF	PANCANCER
gc19_pc.cds::gencode::RPSAP58::ENSG00000205246.4	RPSAP58	ENSG00000205246.4	cds	prior_unique	Act	CNS-GBM;Head-SCC;PANCANCER;Thy-AdenoCA
gc19_pc.cds::gencode::RQCD1::ENSG00000144580.9	RQCD1	ENSG00000144580.9	cds	prior_unique	ambiguous	PANCANCER
gc19_pc.cds::gencode::RRAS2::ENSG00000133818.8	RRAS2	ENSG00000133818.8	cds	prior_unique	Act	Ovary-AdenoCA;Panc-AdenoCA
gc19_pc.cds::gencode::RTN4::ENSG00000115310.13	RTN4	ENSG00000115310.13	cds	prior_unique	LoF	Eso-AdenoCa;Liver-HCC;PANCANCER
gc19_pc.cds::gencode::RUNX1::ENSG00000159216.14	RUNX1	ENSG00000159216.14	cds	prior_unique	ambiguous	Breast-AdenoCa;Breast-DCIS;Breast-LobularCa;Myeloid-AML;PANCANCER
gc19_pc.cds::gencode::RUNX1T1::ENSG00000079102.12	RUNX1T1	ENSG00000079102.12	cds	prior_unique	unknown	Cervix-AdenoCA;Cervix-SCC
gc19_pc.cds::gencode::RUNX3::ENSG00000020633.14	RUNX3	ENSG00000020633.14	cds	prior_unique	LoF	Panc-AdenoCA
gc19_pc.cds::gencode::SBDS::ENSG00000126524.5	SBDS	ENSG00000126524.5	cds	prior_unique	LoF	Myeloid-AML;Myeloid-MDS
gc19_pc.cds::gencode::SCAI::ENSG00000173611.13	SCAI	ENSG00000173611.13	cds	prior_unique	Act	Prost-AdenoCA
gc19_pc.cds::gencode::SDHA::ENSG00000073578.12	SDHA	ENSG00000073578.12	cds	prior_unique	LoF	PANCANCER
gc19_pc.cds::gencode::SDHAF2::ENSG00000167985.2	SDHAF2	ENSG00000167985.2	cds	prior_unique	LoF	PANCANCER
gc19_pc.cds::gencode::SDHB::ENSG00000117118.5	SDHB	ENSG00000117118.5	cds	prior_unique	LoF	PANCANCER
gc19_pc.cds::gencode::SDHC::ENSG00000143252.10	SDHC	ENSG00000143252.10	cds	prior_unique	LoF	PANCANCER
gc19_pc.cds::gencode::SDHD::ENSG00000204370.4	SDHD	ENSG00000204370.4	cds	prior_unique	LoF	PANCANCER
gc19_pc.cds::gencode::SEC24D::ENSG00000150961.10	SEC24D	ENSG00000150961.10	cds	prior_unique	LoF	PANCANCER;Skin-Melanoma
gc19_pc.cds::gencode::SEC31A::ENSG00000138674.12	SEC31A	ENSG00000138674.12	cds	prior_unique	LoF	Uterus-AdenoCA
gc19_pc.cds::gencode::SETBP1::ENSG00000152217.12	SETBP1	ENSG00000152217.12	cds	prior_unique	Act	Myeloid-AML;Myeloid-MDS;PANCANCER
gc19_pc.cds::gencode::SF3A3::ENSG00000183431.7	SF3A3	ENSG00000183431.7	cds	prior_unique	LoF	PANCANCER
gc19_pc.cds::gencode::SF3B3::ENSG00000189091.8	SF3B3	ENSG00000189091.8	cds	prior_unique	ambiguous	Panc-AdenoCA
gc19_pc.cds::gencode::SFPQ::ENSG00000116560.6	SFPQ	ENSG00000116560.6	cds	prior_unique	Act	PANCANCER
gc19_pc.cds::gencode::SGK1::ENSG00000118515.7	SGK1	ENSG00000118515.7	cds	prior_unique	ambiguous	PANCANCER
gc19_pc.cds::gencode::SH2B3::ENSG00000111252.6	SH2B3	ENSG00000111252.6	cds	prior_unique	ambiguous	Myeloid-AML;PANCANCER
gc19_pc.cds::gencode::SHMT1::ENSG00000176974.13	SHMT1	ENSG00000176974.13	cds	prior_unique	ambiguous	Eso-AdenoCa;PANCANCER
gc19_pc.cds::gencode::SIN3A::ENSG00000169375.11	SIN3A	ENSG00000169375.11	cds	prior_unique	Act	PANCANCER
gc19_pc.cds::gencode::SLC22A18::ENSG00000110628.9	SLC22A18	ENSG00000110628.9	cds	prior_unique	LoF	PANCANCER;Panc-AdenoCA
gc19_pc.cds::gencode::SMAD3::ENSG00000166949.11	SMAD3	ENSG00000166949.11	cds	prior_unique	LoF	Panc-AdenoCA
gc19_pc.cds::gencode::SMARCA1::ENSG00000102038.11	SMARCA1	ENSG00000102038.11	cds	prior_unique	LoF	Prost-AdenoCA
gc19_pc.cds::gencode::SMARCD1::ENSG00000066117.10	SMARCD1	ENSG00000066117.10	cds	prior_unique	ambiguous	Breast-AdenoCa;Breast-DCIS;Breast-LobularCa
gc19_pc.cds::gencode::SMARCE1::ENSG00000073584.14	SMARCE1	ENSG00000073584.14	cds	prior_unique	ambiguous	PANCANCER
gc19_pc.cds::gencode::SMC1A::ENSG00000072501.13	SMC1A	ENSG00000072501.13	cds	prior_unique	Act	Eso-AdenoCa;PANCANCER;Uterus-AdenoCA
gc19_pc.cds::gencode::SMURF2::ENSG00000108854.11	SMURF2	ENSG00000108854.11	cds	prior_unique	ambiguous	PANCANCER
gc19_pc.cds::gencode::SOCS1::ENSG00000185338.4	SOCS1	ENSG00000185338.4	cds	prior_unique	LoF	Lymph-NOS;PANCANCER
gc19_pc.cds::gencode::SOS1::ENSG00000115904.8	SOS1	ENSG00000115904.8	cds	prior_unique	Act	PANCANCER
gc19_pc.cds::gencode::SOS2::ENSG00000100485.7	SOS2	ENSG00000100485.7	cds	prior_unique	Act	PANCANCER
gc19_pc.cds::gencode::SOX17::ENSG00000164736.5	SOX17	ENSG00000164736.5	cds	prior_unique	Act	Uterus-AdenoCA
gc19_pc.cds::gencode::SPEN::ENSG00000065526.6	SPEN	ENSG00000065526.6	cds	prior_unique	ambiguous	Lymph-BNHL;PANCANCER
gc19_pc.cds::gencode::SPRR3::ENSG00000163209.10	SPRR3	ENSG00000163209.10	cds	prior_unique	Act	Lung-AdenoCA
gc19_pc.cds::gencode::SPTAN1::ENSG00000197694.9	SPTAN1	ENSG00000197694.9	cds	prior_unique	LoF	Eso-AdenoCa;Head-SCC;PANCANCER
gc19_pc.cds::gencode::SRC::ENSG00000197122.7	SRC	ENSG00000197122.7	cds	prior_unique	Act	PANCANCER
gc19_pc.cds::gencode::SRGAP1::ENSG00000196935.4	SRGAP1	ENSG00000196935.4	cds	prior_unique	Act	Breast-AdenoCa;Breast-DCIS;Breast-LobularCa
gc19_pc.cds::gencode::SRGAP3::ENSG00000196220.11	SRGAP3	ENSG00000196220.11	cds	prior_unique	Act	Eso-AdenoCa;PANCANCER
gc19_pc.cds::gencode::SRSF2::ENSG00000161547.10	SRSF2	ENSG00000161547.10	cds	prior_unique	Act	Lymph-CLL;Myeloid-MDS
gc19_pc.cds::gencode::STAG1::ENSG00000118007.8	STAG1	ENSG00000118007.8	cds	prior_unique	Act	PANCANCER;Skin-Melanoma
gc19_pc.cds::gencode::STAG2::ENSG00000101972.14	STAG2	ENSG00000101972.14	cds	prior_unique	LoF	Bladder-TCC;Breast-AdenoCa;Breast-DCIS;Breast-LobularCa;CNS-GBM;CNS-Oligo;Lymph-CLL;Myeloid-AML;PANCANCER;Skin-Melanoma
gc19_pc.cds::gencode::STARD13::ENSG00000133121.16	STARD13	ENSG00000133121.16	cds	prior_unique	Act	Stomach-AdenoCA
gc19_pc.cds::gencode::STAT5B::ENSG00000173757.5	STAT5B	ENSG00000173757.5	cds	prior_unique	ambiguous	PANCANCER
gc19_pc.cds::gencode::STIP1::ENSG00000168439.12	STIP1	ENSG00000168439.12	cds	prior_unique	LoF	PANCANCER
gc19_pc.cds::gencode::STK4::ENSG00000101109.7	STK4	ENSG00000101109.7	cds	prior_unique	ambiguous	PANCANCER
gc19_pc.cds::gencode::SUFU::ENSG00000107882.7	SUFU	ENSG00000107882.7	cds	prior_unique	LoF	CNS-Medullo
gc19_pc.cds::gencode::SUV39H1::ENSG00000101945.12	SUV39H1	ENSG00000101945.12	cds	prior_unique	ambiguous	PANCANCER
gc19_pc.cds::gencode::SUZ12::ENSG00000178691.6	SUZ12	ENSG00000178691.6	cds	prior_unique	Act	PANCANCER
gc19_pc.cds::gencode::SVEP1::ENSG00000165124.13	SVEP1	ENSG00000165124.13	cds	prior_unique	ambiguous	Lung-AdenoCA;PANCANCER;Skin-Melanoma
gc19_pc.cds::gencode::SYK::ENSG00000165025.10	SYK	ENSG00000165025.10	cds	prior_unique	Act	PANCANCER
gc19_pc.cds::gencode::SYNCRIP::ENSG00000135316.13	SYNCRIP	ENSG00000135316.13	cds	prior_unique	ambiguous	Eso-AdenoCa;PANCANCER
gc19_pc.cds::gencode::TAF1::ENSG00000147133.11	TAF1	ENSG00000147133.11	cds	prior_unique	Act	CNS-Medullo;Eso-AdenoCa;PANCANCER
gc19_pc.cds::gencode::TAOK1::ENSG00000160551.5	TAOK1	ENSG00000160551.5	cds	prior_unique	ambiguous	Eso-AdenoCa;PANCANCER;Skin-Melanoma
gc19_pc.cds::gencode::TAOK2::ENSG00000149930.13	TAOK2	ENSG00000149930.13	cds	prior_unique	Act	Eso-AdenoCa;Head-SCC;PANCANCER
gc19_pc.cds::gencode::TCF12::ENSG00000140262.13	TCF12	ENSG00000140262.13	cds	prior_unique	Act	PANCANCER
gc19_pc.cds::gencode::TFDP1::ENSG00000198176.8	TFDP1	ENSG00000198176.8	cds	prior_unique	Act	PANCANCER;Uterus-AdenoCA
gc19_pc.cds::gencode::TFDP2::ENSG00000114126.13	TFDP2	ENSG00000114126.13	cds	prior_unique	LoF	PANCANCER
gc19_pc.cds::gencode::TGFBR1::ENSG00000106799.8	TGFBR1	ENSG00000106799.8	cds	prior_unique	ambiguous	Panc-AdenoCA
gc19_pc.cds::gencode::THRAP3::ENSG00000054118.9	THRAP3	ENSG00000054118.9	cds	prior_unique	Act	PANCANCER
gc19_pc.cds::gencode::TJP1::ENSG00000104067.12	TJP1	ENSG00000104067.12	cds	prior_unique	LoF	PANCANCER
gc19_pc.cds::gencode::TJP2::ENSG00000119139.12	TJP2	ENSG00000119139.12	cds	prior_unique	Act	PANCANCER
gc19_pc.cds::gencode::TMEM127::ENSG00000135956.4	TMEM127	ENSG00000135956.4	cds	prior_unique	LoF	PANCANCER
gc19_pc.cds::gencode::TNFAIP3::ENSG00000118503.10	TNFAIP3	ENSG00000118503.10	cds	prior_unique	LoF	Lymph-NOS;PANCANCER
gc19_pc.cds::gencode::TNFSF10::ENSG00000121858.6	TNFSF10	ENSG00000121858.6	cds	prior_unique	ambiguous	PANCANCER
gc19_pc.cds::gencode::TNIK::ENSG00000154310.12	TNIK	ENSG00000154310.12	cds	prior_unique	unknown	Cervix-AdenoCA;Cervix-SCC
gc19_pc.cds::gencode::TNPO1::ENSG00000083312.13	TNPO1	ENSG00000083312.13	cds	prior_unique	ambiguous	PANCANCER
gc19_pc.cds::gencode::TNPO2::ENSG00000105576.11	TNPO2	ENSG00000105576.11	cds	prior_unique	ambiguous	Stomach-AdenoCA
gc19_pc.cds::gencode::TOM1::ENSG00000100284.16	TOM1	ENSG00000100284.16	cds	prior_unique	LoF	PANCANCER
gc19_pc.cds::gencode::TP53BP1::ENSG00000067369.9	TP53BP1	ENSG00000067369.9	cds	prior_unique	LoF	Cervix-AdenoCA;Cervix-SCC;Eso-AdenoCa;Kidney-RCC;PANCANCER;Prost-AdenoCA
gc19_pc.cds::gencode::TPMT::ENSG00000137364.4	TPMT	ENSG00000137364.4	cds	prior_unique	ambiguous	PANCANCER
gc19_pc.cds::gencode::TRAF3::ENSG00000131323.10	TRAF3	ENSG00000131323.10	cds	prior_unique	LoF	PANCANCER
gc19_pc.cds::gencode::TRAF5::ENSG00000082512.10	TRAF5	ENSG00000082512.10	cds	prior_unique	LoF	PANCANCER
gc19_pc.cds::gencode::TRAF7::ENSG00000131653.8	TRAF7	ENSG00000131653.8	cds	prior_unique	LoF	PANCANCER
gc19_pc.cds::gencode::TRERF1::ENSG00000124496.8	TRERF1	ENSG00000124496.8	cds	prior_unique	Act	Skin-Melanoma
gc19_pc.cds::gencode::TRIO::ENSG00000038382.13	TRIO	ENSG00000038382.13	cds	prior_unique	Act	Bladder-TCC;Eso-AdenoCa;Lymph-CLL;PANCANCER
gc19_pc.cds::gencode::TRIP10::ENSG00000125733.13	TRIP10	ENSG00000125733.13	cds	prior_unique	Act	Head-SCC
gc19_pc.cds::gencode::TRIP12::ENSG00000153827.9	TRIP12	ENSG00000153827.9	cds	prior_unique	unknown	Cervix-AdenoCA;Cervix-SCC
gc19_pc.cds::gencode::TRRAP::ENSG00000196367.8	TRRAP	ENSG00000196367.8	cds	prior_unique	ambiguous	Skin-Melanoma
gc19_pc.cds::gencode::TSC2::ENSG00000103197.12	TSC2	ENSG00000103197.12	cds	prior_unique	LoF	Head-SCC;Kidney-RCC;Liver-HCC;PANCANCER;Thy-AdenoCA
gc19_pc.cds::gencode::TSHR::ENSG00000165409.11	TSHR	ENSG00000165409.11	cds	prior_unique	Act	PANCANCER
gc19_pc.cds::gencode::TXNIP::ENSG00000117289.7	TXNIP	ENSG00000117289.7	cds	prior_unique	Act	Bladder-TCC
gc19_pc.cds::gencode::UBC::ENSG00000150991.10	UBC	ENSG00000150991.10	cds	prior_unique	ambiguous	PANCANCER
gc19_pc.cds::gencode::UBR5::ENSG00000104517.8	UBR5	ENSG00000104517.8	cds	prior_unique	ambiguous	ColoRect-AdenoCA;PANCANCER
gc19_pc.cds::gencode::UGT1A1::ENSG00000241635.3	UGT1A1	ENSG00000241635.3	cds	prior_unique	ambiguous	PANCANCER
